district,residential_population
Adilabad,708972
Bhadradri Kothagudem,1153105
Jagtial,1054000
Jangaon,566376
Jayashankar Bhoopalpally,416763
Kamareddy,974227
Karimnagar,261185
Khammam,1401639
Komaram Bheem Asifabad,515812
Mahabubabad,774549
Mancherial,807037
Medak,767428
Mulugu,294671
Nalgonda,320000
Narayanpet,566875
Nirmal,709418
Nizamabad,1571022
Peddapalli,795332
Rajanna Sircilla,552037
Sangareddy,1527628
Siddipet,1167931
Suryapet,1268883
Wanaparthy,627018
Warangal (Rural),819099
Yadadri Bhongir,889474
Medchal,2240073
Ranga Reddy,5296741
Vikarabad,1069893
Jogulamba Gadwal,704021
Nagarkurnool,977814
Hyderabad,4882046
Mahbubnagar,4053028
Warangal (Urban),937000
